Time,COP X,COP Y
14.66463,3.126356,-4.211679
14.68154,3.125163,-4.249541
14.69755,3.125163,-4.249541
14.71393,3.173172,-4.325226
14.73061,3.153873,-4.347874
14.74751,3.164828,-4.383662
14.76437,3.109198,-4.437572
14.7802,3.083156,-4.493543
14.79677,3.083156,-4.493543
14.81418,2.97891,-4.617067
14.83015,2.970458,-4.673995
14.84717,2.959431,-4.740647
14.86332,2.984896,-4.791617
14.88002,3.000072,-4.841035
14.89709,3.000072,-4.841035
14.91274,3.082377,-4.941126
14.92993,3.177442,-4.999144
14.94587,3.195665,-5.0478
14.96281,3.253894,-5.128336
14.97901,3.253894,-5.128336
14.99557,3.34007,-5.227072
15.01271,3.325906,-5.30038
15.0287,3.294891,-5.367682
15.04558,3.260898,-5.405477
15.06183,3.178368,-5.475661
15.07848,3.178368,-5.475661
15.09497,2.732823,-5.547774
15.11167,2.296399,-5.575333
15.12838,1.756223,-5.619491
15.1453,1.249432,-5.676805
15.16155,0.7962672,-5.742349
15.1783,0.7962672,-5.742349
15.19437,-0.01055006,-5.965945
15.21112,-0.1515059,-6.05164
15.2281,-0.1515059,-6.05164
15.24417,-0.2842805,-6.185285
15.26105,-0.2471689,-6.230295
15.2772,-0.2471689,-6.230295
15.29394,-0.1714788,-6.290506
15.31106,-0.09135494,-6.29162
15.32709,0.1955587,-6.328243
15.34379,0.1955587,-6.328243
15.36077,0.5506806,-6.282382
15.37672,0.5506806,-6.282382
15.39369,0.7567064,-6.282487
15.40973,1.151947,-6.244532
15.42662,1.345835,-6.206753
15.44354,1.546392,-6.236984
15.4595,1.546392,-6.236984
15.47644,1.966442,-6.221572
15.4926,2.118463,-6.251595
15.50939,2.319109,-6.269695
15.52659,2.492393,-6.296034
15.54228,2.676547,-6.33995
15.55925,2.676547,-6.33995
15.57618,3.07583,-6.401496
15.59196,3.316327,-6.438293
15.60853,3.50827,-6.465123
15.6251,3.713517,-6.476311
15.64204,3.860457,-6.520842
15.65823,3.860457,-6.520842
15.67505,4.13948,-6.543262
15.69187,4.23048,-6.575705
15.70894,4.370646,-6.575881
15.7245,4.476062,-6.595373
15.74107,4.587017,-6.597466
15.75781,4.587017,-6.597466
15.77468,4.831095,-6.645348
15.79077,4.983457,-6.620961
15.80733,5.093512,-6.643316
15.8239,5.172573,-6.653479
15.84065,5.309547,-6.673248
15.85752,5.309547,-6.673248
15.8736,5.51778,-6.702115
15.89059,5.51778,-6.702115
15.90751,5.513296,-6.681643
15.9233,5.591287,-6.7097
15.93987,5.591287,-6.7097
15.95643,5.641377,-6.727018
15.9731,5.682702,-6.763002
15.98993,5.687101,-6.753313
16.00693,5.711164,-6.753619
16.02287,5.711164,-6.753619
16.03993,5.711164,-6.753619
16.05583,5.736249,-6.778796
16.07273,5.733958,-6.787351
16.08897,5.716655,-6.767748
16.1057,5.716655,-6.767748
16.12256,5.736404,-6.792805
16.13952,5.736404,-6.792805
16.15554,5.857305,-6.79693
16.1718,5.845827,-6.784067
16.18849,5.896061,-6.783792
16.20543,5.875854,-6.759595
16.22156,5.875854,-6.759595
16.23852,5.875854,-6.759595
16.25536,5.8538,-6.730035
16.2712,5.8538,-6.730035
16.28777,5.843963,-6.720105
16.30433,5.816082,-6.695339
16.32125,5.771736,-6.705516
16.33823,5.771736,-6.705516
16.35406,5.673973,-6.702859
16.37094,5.634262,-6.689503
16.38717,5.634262,-6.689503
16.40392,5.532936,-6.686343
16.42093,5.453272,-6.681463
16.43686,5.453272,-6.681463
16.4537,5.285102,-6.661081
16.47067,5.174833,-6.667363
16.48662,5.041918,-6.623939
16.50314,4.934432,-6.612046
16.5197,4.934432,-6.612046
16.53644,4.693842,-6.592197
16.55352,4.547693,-6.59244
16.56941,4.406804,-6.581229
16.58597,4.272746,-6.565559
16.60257,4.119816,-6.555427
16.61929,4.119816,-6.555427
